method,noise_pm,step_budget,n_total,n_ever_conv,n_conv_by_step,frac_of_ever_conv,frac_of_total
GAD dt=0.007 (5k),100,2000,287,209,206,0.9856459330143541,0.7177700348432056
GAD dt=0.007 (5k),100,3000,287,209,207,0.9904306220095693,0.7212543554006968
GAD dt=0.007 (5k),100,5000,287,209,209,1.0,0.7282229965156795
GAD dt=0.007 (5k),150,10,287,167,0,0.0,0.0
GAD dt=0.007 (5k),150,30,287,167,0,0.0,0.0
GAD dt=0.007 (5k),150,50,287,167,0,0.0,0.0
GAD dt=0.007 (5k),150,75,287,167,0,0.0,0.0
GAD dt=0.007 (5k),150,100,287,167,0,0.0,0.0
GAD dt=0.007 (5k),150,150,287,167,0,0.0,0.0
GAD dt=0.007 (5k),150,200,287,167,6,0.03592814371257485,0.020905923344947737
GAD dt=0.007 (5k),150,300,287,167,28,0.16766467065868262,0.0975609756097561
GAD dt=0.007 (5k),150,400,287,167,69,0.41317365269461076,0.24041811846689895
GAD dt=0.007 (5k),150,500,287,167,105,0.6287425149700598,0.36585365853658536
GAD dt=0.007 (5k),150,700,287,167,141,0.844311377245509,0.4912891986062718
GAD dt=0.007 (5k),150,1000,287,167,153,0.9161676646706587,0.5331010452961672
GAD dt=0.007 (5k),150,1500,287,167,157,0.9401197604790419,0.5470383275261324
GAD dt=0.007 (5k),150,2000,287,167,159,0.9520958083832335,0.554006968641115
GAD dt=0.007 (5k),150,3000,287,167,163,0.9760479041916168,0.5679442508710801
GAD dt=0.007 (5k),150,5000,287,167,167,1.0,0.5818815331010453
GAD dt=0.007 (5k),200,10,287,128,0,0.0,0.0
GAD dt=0.007 (5k),200,30,287,128,0,0.0,0.0
GAD dt=0.007 (5k),200,50,287,128,0,0.0,0.0
GAD dt=0.007 (5k),200,75,287,128,0,0.0,0.0
GAD dt=0.007 (5k),200,100,287,128,0,0.0,0.0
GAD dt=0.007 (5k),200,150,287,128,0,0.0,0.0
GAD dt=0.007 (5k),200,200,287,128,2,0.015625,0.006968641114982578
GAD dt=0.007 (5k),200,300,287,128,14,0.109375,0.04878048780487805
GAD dt=0.007 (5k),200,400,287,128,40,0.3125,0.13937282229965156
GAD dt=0.007 (5k),200,500,287,128,56,0.4375,0.1951219512195122
GAD dt=0.007 (5k),200,700,287,128,89,0.6953125,0.31010452961672474
GAD dt=0.007 (5k),200,1000,287,128,103,0.8046875,0.3588850174216028
GAD dt=0.007 (5k),200,1500,287,128,110,0.859375,0.3832752613240418
GAD dt=0.007 (5k),200,2000,287,128,112,0.875,0.3902439024390244
GAD dt=0.007 (5k),200,3000,287,128,122,0.953125,0.4250871080139373
GAD dt=0.007 (5k),200,5000,287,128,128,1.0,0.445993031358885
