method,noise_pm,n,n_conv,conv_pct,avg_total_steps,med_total_steps,avg_step_conv,med_step_conv,p25_step_conv,p75_step_conv,p95_step_conv,avg_wall_s,med_wall_s,total_wall_s,wall_per_conv_TS_s,med_ms_per_step
Sella libdef (2k),100,287,217,75.60975609756098,605.0662020905924,10.0,164.2442396313364,9.0,8.0,12.0,2000.0,46.08347545683591,0.7804481983184814,13225.957456111908,60.949112700976535,76.61792967054579
Sella libdef (2k),150,287,164,57.142857142857146,969.2508710801394,37.0,208.25,12.0,9.0,17.0,2000.0,71.60995138148398,2.837439775466919,20552.0560464859,125.31741491759696,74.54850123478816
Sella libdef (2k),200,287,89,31.010452961672474,1461.9407665505225,2000.0,396.2134831460674,16.0,11.0,26.0,2000.0,108.04201441276365,146.9029779434204,31008.058136463165,348.4051476007097,74.19555151462555
Sella libdef (5k),10,287,276,96.16724738675958,431.12891986062715,5.0,249.03623188405797,4.0,4.0,6.0,647.0,31.61638810078026,0.371431827545166,9073.903384923935,32.87646153957947,77.904611825943
Sella libdef (5k),30,287,276,96.16724738675958,445.2787456445993,6.0,263.75,6.0,5.0,8.0,1812.5,33.10533560776129,0.5122981071472168,9501.23131942749,34.42475115734598,77.35685507456462
Sella libdef (5k),50,287,264,91.98606271777004,684.6724738675958,7.0,308.71590909090907,7.0,6.0,9.0,4911.7999999999965,54.303331374291346,0.600257158279419,15585.056104421616,59.034303425839454,81.82191848754883
Sella libdef (5k),100,287,218,75.9581881533101,1465.4564459930314,10.0,396.63761467889907,9.0,8.0,12.0,5000.0,109.86232234210503,0.7778754234313965,31530.486512184143,144.63525923020248,76.53815405709403
Sella libdef (10k),10,287,276,96.16724738675958,810.3519163763066,5.0,480.06159420289856,5.0,4.0,6.0,490.75,59.482078066270944,0.36565256118774414,17071.35640501976,61.85274059789768,77.48544216156006
Sella libdef (10k),30,287,276,96.16724738675958,866.6515679442508,6.0,502.64130434782606,6.0,5.0,8.0,2521.5,63.655954653377734,0.4873504638671875,18269.25898551941,66.19296733883844,76.5526294708252
Sella libdef (10k),50,287,265,92.33449477351917,1298.5017421602788,7.0,576.1132075471698,7.0,6.0,9.0,9425.19999999995,96.00506004140767,0.553586483001709,27553.452231884003,103.9752914410717,76.87398365565709
Sella default (2k),10,287,277,96.51567944250871,173.83623693379792,4.0,107.90974729241877,4.0,4.0,5.0,861.5999999999838,13.228414677576737,0.34912991523742676,3796.5550124645233,13.705974774240156,82.22723007202148
Sella default (2k),30,287,275,95.81881533101046,191.0801393728223,6.0,112.14545454545454,6.0,5.0,7.0,975.9000000000167,14.769191617334346,0.47086286544799805,4238.757994174957,15.41366543336348,78.59321435292561
Sella default (2k),50,287,263,91.63763066202091,264.9059233449477,7.0,114.05703422053232,7.0,6.0,8.0,1205.7999999999881,19.859174457576632,0.5551116466522217,5699.583069324493,21.6714185145418,79.13576232062445
Sella default (2k),100,287,203,70.73170731707317,699.5087108013937,13.0,180.3399014778325,11.0,9.0,13.5,2000.0,51.92709452100747,0.9961049556732178,14903.076127529144,73.41416811590712,76.06599915027618
Sella default (2k),150,287,132,45.99303135888502,1205.5435540069686,2000.0,272.65909090909093,16.0,13.0,29.5,2000.0,88.5860855571069,144.54130125045776,25424.20655488968,192.6076254158309,74.23224639892578
Sella default (2k),200,287,59,20.557491289198605,1634.6411149825783,2000.0,255.52542372881356,21.0,17.0,38.5,2000.0,120.5874875663465,146.93044519424438,34608.60893154144,586.5865920600245,74.16475081443787
Sella internal (2k),10,287,261,90.94076655052265,444.7595818815331,4.0,289.83141762452107,4.0,3.0,5.0,2000.0,42.835734623234444,0.44120144844055176,12293.855836868286,47.102895926698416,109.24911499023438
Sella internal (2k),30,287,249,86.7595818815331,474.8815331010453,7.0,242.13253012048193,6.0,5.0,8.0,2000.0,44.7610469487486,0.7113323211669922,12846.420474290848,51.5920500975536,101.75466537475586
Sella internal (2k),50,287,234,81.53310104529616,585.0627177700349,11.0,264.5854700854701,9.0,8.0,12.0,2000.0,54.460408412621,1.0494327545166016,15630.137214422226,66.79545818129156,97.38561085292271
Sella internal (2k),100,287,166,57.8397212543554,1018.5993031358885,1436.0,303.2409638554217,19.0,15.0,25.0,2000.0,92.48141905073504,126.91405868530273,26542.16726756096,159.89257390096964,93.57345898946126
