method,noise_pm,n_total,threshold,conv_fmax_pct,conv_fnorm_pct,conv_fmax_nosad_pct,conv_fnorm_nosad_pct,median_steps,median_wall_s,median_calls
GAD dt=0.006 (5k),100,287,0.01,71.77700348432056,78.397212543554,71.77700348432056,79.09407665505226,461.0,28.970473766326904,461.0
GAD dt=0.006 (5k),100,287,0.005,0.0,12.89198606271777,0.0,12.89198606271777,461.0,28.970473766326904,461.0
GAD dt=0.006 (5k),100,287,0.001,0.0,0.0,0.0,0.0,461.0,28.970473766326904,461.0
GAD dt=0.006 (5k),100,287,0.0001,0.0,0.0,0.0,0.0,461.0,28.970473766326904,461.0
GAD dt=0.006 (5k),150,287,0.05,72.12543554006969,80.13937282229965,75.9581881533101,88.85017421602788,862.0,53.142756938934326,862.0
GAD dt=0.006 (5k),150,287,0.01,57.491289198606275,64.80836236933798,57.491289198606275,65.50522648083624,862.0,53.142756938934326,862.0
GAD dt=0.006 (5k),150,287,0.005,0.0,9.75609756097561,0.0,10.104529616724738,862.0,53.142756938934326,862.0
GAD dt=0.006 (5k),150,287,0.001,0.0,0.0,0.0,0.0,862.0,53.142756938934326,862.0
GAD dt=0.006 (5k),150,287,0.0001,0.0,0.0,0.0,0.0,862.0,53.142756938934326,862.0
GAD dt=0.006 (5k),200,287,0.05,64.80836236933798,72.12543554006969,73.5191637630662,85.71428571428571,5000.0,304.80922627449036,5000.0
GAD dt=0.006 (5k),200,287,0.01,43.90243902439025,53.31010452961672,44.250871080139376,55.05226480836237,5000.0,304.80922627449036,5000.0
GAD dt=0.006 (5k),200,287,0.005,0.0,7.317073170731708,0.0,8.013937282229966,5000.0,304.80922627449036,5000.0
GAD dt=0.006 (5k),200,287,0.001,0.0,0.0,0.0,0.0,5000.0,304.80922627449036,5000.0
GAD dt=0.006 (5k),200,287,0.0001,0.0,0.0,0.0,0.0,5000.0,304.80922627449036,5000.0
GAD dt=0.007 (5k),10,287,0.05,98.25783972125436,98.60627177700349,99.30313588850174,99.65156794425087,75.0,4.829324722290039,75.0
GAD dt=0.007 (5k),10,287,0.01,89.19860627177701,95.81881533101046,89.19860627177701,96.16724738675958,75.0,4.829324722290039,75.0
GAD dt=0.007 (5k),10,287,0.005,0.0,16.72473867595819,0.0,16.72473867595819,75.0,4.829324722290039,75.0
GAD dt=0.007 (5k),10,287,0.001,0.0,0.0,0.0,0.0,75.0,4.829324722290039,75.0
GAD dt=0.007 (5k),10,287,0.0001,0.0,0.0,0.0,0.0,75.0,4.829324722290039,75.0
GAD dt=0.007 (5k),30,287,0.05,97.90940766550523,98.25783972125436,98.95470383275261,99.30313588850174,153.0,9.504151105880737,153.0
GAD dt=0.007 (5k),30,287,0.01,88.85017421602788,95.47038327526133,88.85017421602788,95.81881533101046,153.0,9.504151105880737,153.0
GAD dt=0.007 (5k),30,287,0.005,0.0,18.118466898954704,0.0,18.118466898954704,153.0,9.504151105880737,153.0
GAD dt=0.007 (5k),30,287,0.001,0.0,0.0,0.0,0.0,153.0,9.504151105880737,153.0
GAD dt=0.007 (5k),30,287,0.0001,0.0,0.0,0.0,0.0,153.0,9.504151105880737,153.0
GAD dt=0.007 (5k),50,287,0.05,94.77351916376307,96.16724738675958,95.81881533101046,97.90940766550523,220.0,13.629822492599487,220.0
GAD dt=0.007 (5k),50,287,0.01,85.71428571428571,91.98606271777004,85.71428571428571,92.33449477351917,220.0,13.629822492599487,220.0
GAD dt=0.007 (5k),50,287,0.005,0.0,16.027874564459932,0.0,16.027874564459932,220.0,13.629822492599487,220.0
GAD dt=0.007 (5k),50,287,0.001,0.0,0.0,0.0,0.0,220.0,13.629822492599487,220.0
GAD dt=0.007 (5k),50,287,0.0001,0.0,0.0,0.0,0.0,220.0,13.629822492599487,220.0
GAD dt=0.007 (5k),100,287,0.05,82.57839721254355,88.15331010452962,84.3205574912892,93.03135888501743,402.0,24.711739540100098,402.0
GAD dt=0.007 (5k),100,287,0.01,72.82229965156795,78.74564459930313,72.82229965156795,79.44250871080139,402.0,24.711739540100098,402.0
GAD dt=0.007 (5k),100,287,0.005,0.0,11.846689895470384,0.0,11.846689895470384,402.0,24.711739540100098,402.0
