wall_s_center,bin,fmax_med,fmax_p25,fmax_p75,n_samples_in_bin,method,noise_pm
3.395279226598305,25,0.02935691364109516,0.023644179105758667,0.036653149873018265,287.0,GAD dt=0.003 (5k),10
3.8986103328154758,26,0.025683805346488953,0.020794072188436985,0.0318231713026762,287.0,GAD dt=0.003 (5k),10
4.476557453085672,27,0.02205548621714115,0.017861791886389256,0.02786154765635729,287.0,GAD dt=0.003 (5k),10
5.140181993080805,28,0.019330089911818504,0.015435397624969482,0.02452513389289379,285.0,GAD dt=0.003 (5k),10
5.902185149836502,29,0.01727757230401039,0.013540949672460556,0.022023417055606842,277.0,GAD dt=0.003 (5k),10
6.777151001626587,30,0.01526511088013649,0.012292466824874282,0.02028635935857892,262.0,GAD dt=0.003 (5k),10
7.781825634548344,31,0.013845340814441442,0.011407570447772741,0.018889475148171186,244.0,GAD dt=0.003 (5k),10
8.93543764805882,32,0.012914466205984354,0.010868461104109883,0.018685130402445793,208.0,GAD dt=0.003 (5k),10
10.260066173659641,33,0.012501565739512444,0.010144141502678394,0.017723080702126026,183.0,GAD dt=0.003 (5k),10
11.781063450288183,34,0.01331564411520958,0.01022967929020524,0.020736465230584145,139.0,GAD dt=0.003 (5k),10
13.527540044140883,35,0.014110864140093327,0.011181313078850508,0.022007972933351994,111.0,GAD dt=0.003 (5k),10
15.532921999614459,36,0.015098854899406433,0.011926012579351664,0.025424595922231674,91.0,GAD dt=0.003 (5k),10
17.83559058474993,37,0.014773271977901459,0.011695953086018562,0.02556854672729969,81.0,GAD dt=0.003 (5k),10
20.479616875351343,38,0.014265814796090126,0.011741165537387133,0.0258591677993536,75.0,GAD dt=0.003 (5k),10
23.515605237080855,39,0.015990820713341236,0.0118697804864496,0.025527745950967073,66.0,GAD dt=0.003 (5k),10
27.001661849044613,40,0.016825256869196892,0.011438957182690501,0.024423797614872456,64.0,GAD dt=0.003 (5k),10
31.004506805569168,41,0.016501329839229584,0.011402611155062914,0.023697142489254475,60.0,GAD dt=0.003 (5k),10
35.600751080830136,42,0.016286328434944153,0.011610439512878656,0.024398647714406252,56.0,GAD dt=0.003 (5k),10
40.87836279632643,43,0.016364870592951775,0.011959479190409184,0.024665148928761482,51.0,GAD dt=0.003 (5k),10
46.938350854285375,44,0.018878405913710594,0.011559105012565851,0.02485346794128418,47.0,GAD dt=0.003 (5k),10
53.89669816027922,45,0.018211929127573967,0.01158797089010477,0.025359967723488808,45.0,GAD dt=0.003 (5k),10
61.88658143525377,46,0.01837468519806862,0.013509319629520178,0.02769314870238304,39.0,GAD dt=0.003 (5k),10
71.0609201022428,47,0.019153477624058723,0.013837595470249653,0.027940334752202034,37.0,GAD dt=0.003 (5k),10
81.59530303124468,48,0.01981213688850403,0.013858288759365678,0.027861224487423897,36.0,GAD dt=0.003 (5k),10
93.69134915761549,49,0.020618338137865067,0.014203882310539484,0.02819328010082245,34.0,GAD dt=0.003 (5k),10
107.58056629329383,50,0.020979012362658978,0.013837702106684446,0.027265715412795544,34.0,GAD dt=0.003 (5k),10
123.52878198515151,51,0.02022535353899002,0.013791141333058476,0.02610226394608617,34.0,GAD dt=0.003 (5k),10
141.84123122324826,52,0.019467118196189404,0.013960252283141017,0.025672598741948605,34.0,GAD dt=0.003 (5k),10
162.86839837330643,53,0.018270879052579403,0.013762276154011488,0.025557363405823708,34.0,GAD dt=0.003 (5k),10
187.01272514291568,54,0.017553741112351418,0.013587169349193573,0.0240760687738657,33.0,GAD dt=0.003 (5k),10
214.7363129661119,55,0.01648767478764057,0.013405970297753811,0.023508146405220032,33.0,GAD dt=0.003 (5k),10
246.56976722327977,56,0.017160624265670776,0.013580673839896917,0.024469753727316856,31.0,GAD dt=0.003 (5k),10
283.1223525670614,57,0.016437159851193428,0.01298934267833829,0.024245811626315117,31.0,GAD dt=0.003 (5k),10
325.0936537183841,58,0.016574669629335403,0.013531551696360111,0.024741054512560368,31.0,GAD dt=0.003 (5k),10
373.28696491011067,59,,,,,GAD dt=0.003 (5k),10
0.10715616606015754,0,2.9942078590393066,2.8247008323669434,3.16371488571167,2.0,GAD dt=0.003 (5k),30
0.12304146679728924,1,2.5078221559524536,2.0699095129966736,3.077159881591797,280.0,GAD dt=0.003 (5k),30
0.1412816742914194,2,2.35116708278656,2.084146797657013,2.618187367916107,2.0,GAD dt=0.003 (5k),30
0.16222589026406567,3,2.931582033634186,2.241201013326645,3.6219630539417267,2.0,GAD dt=0.003 (5k),30
0.1862749688093626,4,1.7878272533416748,1.510505199432373,2.162817060947418,282.0,GAD dt=0.003 (5k),30
0.21388918839309942,5,1.7284308075904846,1.510428637266159,1.9464329779148102,2.0,GAD dt=0.003 (5k),30
0.24559706118259372,6,1.3956763744354248,1.1378375887870789,1.6280389428138733,283.0,GAD dt=0.003 (5k),30
0.28200544831032087,7,0.9965638518333435,0.8366093635559082,1.2246594429016113,45.0,GAD dt=0.003 (5k),30
0.32381117466865444,8,1.1247301697731018,0.9493810534477234,1.3150682747364044,242.0,GAD dt=0.003 (5k),30
0.3718143655327966,9,0.9038013815879822,0.7770388126373291,1.0599473714828491,285.0,GAD dt=0.003 (5k),30
0.42693376026327295,10,0.7658571600914001,0.6507412195205688,0.8961167931556702,285.0,GAD dt=0.003 (5k),30
0.4902242961789493,11,0.6622724533081055,0.5534202605485916,0.7677049785852432,286.0,GAD dt=0.003 (5k),30
0.5628972991406223,12,0.5788953900337219,0.48363254219293594,0.6763979941606522,286.0,GAD dt=0.003 (5k),30
0.6463436672754064,13,0.47995519638061523,0.381763257086277,0.5553239434957504,286.0,GAD dt=0.003 (5k),30
0.7421604915582602,14,0.425359308719635,0.3472539708018303,0.5051819533109665,286.0,GAD dt=0.003 (5k),30
0.852181622745446,15,0.37292248010635376,0.3018518388271332,0.4313226640224457,286.0,GAD dt=0.003 (5k),30
0.9785127696844709,16,0.3155798017978668,0.2580093741416931,0.36528491973876953,285.0,GAD dt=0.003 (5k),30
1.1235718007516622,17,0.27137622237205505,0.22672412544488907,0.31995952874422073,286.0,GAD dt=0.003 (5k),30
1.290135019751871,18,0.23134763538837433,0.19600193575024605,0.27318406850099564,286.0,GAD dt=0.003 (5k),30
1.4813903019608143,19,0.206025168299675,0.17053386569023132,0.24312028288841248,285.0,GAD dt=0.003 (5k),30
