family,config,noise_pm,conv_pct,med_step,wall_per_conv,topo_pct,rmsd_pct,recovery_pp
hybrid,Hybrid undamped Eckart eig tr=0.05,200,31.010452961672474,95.0,140.33058650038217,38.67595818815331,17.770034843205575,7.665505226480835
plain GAD,GAD dt=0.003,10,89.19860627177701,165.5,54.18113253172487,88.50174216027875,46.34146341463415,-0.6968641114982574
plain GAD,GAD dt=0.003,30,88.50174216027875,337.5,67.46486440606004,89.19860627177701,46.34146341463415,0.6968641114982574
plain GAD,GAD dt=0.003,50,85.36585365853658,458.0,88.74974588374702,88.85017421602788,46.34146341463415,3.4843205574913014
plain GAD,GAD dt=0.003,100,71.0801393728223,757.5,183.8244308548815,78.397212543554,40.069686411149824,7.317073170731703
plain GAD,GAD dt=0.003,150,55.05226480836237,993.0,326.7610027231748,60.97560975609756,31.010452961672474,5.923344947735195
plain GAD,GAD dt=0.003,200,40.76655052264808,1196.0,534.1372911604042,44.599303135888505,21.60278745644599,3.832752613240423
plain GAD,GAD dt=0.005,10,89.19860627177701,99.5,47.718090928159654,88.85017421602788,46.34146341463415,-0.3484320557491287
plain GAD,GAD dt=0.005,30,88.50174216027875,203.5,57.11258507056499,89.19860627177701,46.68989547038328,0.6968641114982574
plain GAD,GAD dt=0.005,50,85.71428571428571,278.0,74.28573341195177,88.85017421602788,45.64459930313589,3.1358885017421727
plain GAD,GAD dt=0.005,100,71.77700348432056,458.0,156.00569314053914,78.04878048780488,40.069686411149824,6.271777003484317
plain GAD,GAD dt=0.005,150,57.142857142857146,613.5,278.49003429383765,61.67247386759582,31.358885017421603,4.529616724738673
plain GAD,GAD dt=0.005,200,43.20557491289198,738.0,472.32064827411403,44.599303135888505,21.254355400696863,1.393728222996522
plain GAD,GAD dt=0.007,10,89.19860627177701,73.0,46.60156236682087,88.50174216027875,46.34146341463415,-0.6968641114982574
plain GAD,GAD dt=0.007,30,88.85017421602788,145.0,51.11959925258861,88.50174216027875,45.64459930313589,-0.3484320557491287
plain GAD,GAD dt=0.007,50,85.71428571428571,200.0,67.94983519577399,88.50174216027875,46.34146341463415,2.787456445993044
plain GAD,GAD dt=0.007,100,72.82229965156795,332.0,140.6631210101278,78.397212543554,40.069686411149824,5.5749128919860595
plain GAD,GAD dt=0.007,150,58.18815331010453,437.0,260.873949098016,61.67247386759582,30.662020905923345,3.484320557491287
plain GAD,GAD dt=0.007,200,44.599303135888505,546.0,440.8592885937542,43.90243902439025,20.905923344947734,-0.6968641114982574
