method,noise_pm,n_total,rmsd_threshold,cutoff_scale,rmsd_intended_pct,topo_intended_pct
GAD dt=0.005 (5k),30,282,0.7,1.1,63.47517730496454,93.61702127659575
GAD dt=0.005 (5k),30,282,0.7,1.2,63.47517730496454,90.78014184397163
GAD dt=0.005 (5k),30,282,0.7,1.3,63.47517730496454,92.19858156028369
GAD dt=0.005 (5k),30,282,0.7,1.4,63.47517730496454,89.71631205673759
GAD dt=0.005 (5k),50,280,0.3,1.1,46.785714285714285,93.57142857142857
GAD dt=0.005 (5k),50,280,0.3,1.2,46.785714285714285,91.07142857142857
GAD dt=0.005 (5k),50,280,0.3,1.3,46.785714285714285,92.14285714285714
GAD dt=0.005 (5k),50,280,0.3,1.4,46.785714285714285,90.0
GAD dt=0.005 (5k),50,280,0.4,1.1,49.642857142857146,93.57142857142857
GAD dt=0.005 (5k),50,280,0.4,1.2,49.642857142857146,91.07142857142857
GAD dt=0.005 (5k),50,280,0.4,1.3,49.642857142857146,92.14285714285714
GAD dt=0.005 (5k),50,280,0.4,1.4,49.642857142857146,90.0
GAD dt=0.005 (5k),50,280,0.5,1.1,58.57142857142857,93.57142857142857
GAD dt=0.005 (5k),50,280,0.5,1.2,58.57142857142857,91.07142857142857
GAD dt=0.005 (5k),50,280,0.5,1.3,58.57142857142857,92.14285714285714
GAD dt=0.005 (5k),50,280,0.5,1.4,58.57142857142857,90.0
GAD dt=0.005 (5k),50,280,0.7,1.1,63.92857142857143,93.57142857142857
GAD dt=0.005 (5k),50,280,0.7,1.2,63.92857142857143,91.07142857142857
GAD dt=0.005 (5k),50,280,0.7,1.3,63.92857142857143,92.14285714285714
GAD dt=0.005 (5k),50,280,0.7,1.4,63.92857142857143,90.0
GAD dt=0.005 (5k),100,263,0.3,1.1,43.72623574144487,87.83269961977186
GAD dt=0.005 (5k),100,263,0.3,1.2,43.72623574144487,85.17110266159696
GAD dt=0.005 (5k),100,263,0.3,1.3,43.72623574144487,86.31178707224335
GAD dt=0.005 (5k),100,263,0.3,1.4,43.72623574144487,84.03041825095058
GAD dt=0.005 (5k),100,263,0.4,1.1,46.38783269961977,87.83269961977186
GAD dt=0.005 (5k),100,263,0.4,1.2,46.38783269961977,85.17110266159696
GAD dt=0.005 (5k),100,263,0.4,1.3,46.38783269961977,86.31178707224335
GAD dt=0.005 (5k),100,263,0.4,1.4,46.38783269961977,84.03041825095058
GAD dt=0.005 (5k),100,263,0.5,1.1,52.851711026615966,87.83269961977186
GAD dt=0.005 (5k),100,263,0.5,1.2,52.851711026615966,85.17110266159696
GAD dt=0.005 (5k),100,263,0.5,1.3,52.851711026615966,86.31178707224335
GAD dt=0.005 (5k),100,263,0.5,1.4,52.851711026615966,84.03041825095058
GAD dt=0.005 (5k),100,263,0.7,1.1,57.79467680608365,87.83269961977186
GAD dt=0.005 (5k),100,263,0.7,1.2,57.79467680608365,85.17110266159696
GAD dt=0.005 (5k),100,263,0.7,1.3,57.79467680608365,86.31178707224335
GAD dt=0.005 (5k),100,263,0.7,1.4,57.79467680608365,84.03041825095058
GAD dt=0.005 (5k),150,254,0.3,1.1,35.43307086614173,72.04724409448819
GAD dt=0.005 (5k),150,254,0.3,1.2,35.43307086614173,69.68503937007874
GAD dt=0.005 (5k),150,254,0.3,1.3,35.43307086614173,70.86614173228347
GAD dt=0.005 (5k),150,254,0.3,1.4,35.43307086614173,68.89763779527559
GAD dt=0.005 (5k),150,254,0.4,1.1,37.40157480314961,72.04724409448819
GAD dt=0.005 (5k),150,254,0.4,1.2,37.40157480314961,69.68503937007874
GAD dt=0.005 (5k),150,254,0.4,1.3,37.40157480314961,70.86614173228347
GAD dt=0.005 (5k),150,254,0.4,1.4,37.40157480314961,68.89763779527559
GAD dt=0.005 (5k),150,254,0.5,1.1,43.30708661417323,72.04724409448819
GAD dt=0.005 (5k),150,254,0.5,1.2,43.30708661417323,69.68503937007874
GAD dt=0.005 (5k),150,254,0.5,1.3,43.30708661417323,70.86614173228347
GAD dt=0.005 (5k),150,254,0.5,1.4,43.30708661417323,68.89763779527559
GAD dt=0.005 (5k),150,254,0.7,1.1,48.031496062992126,72.04724409448819
GAD dt=0.005 (5k),150,254,0.7,1.2,48.031496062992126,69.68503937007874
GAD dt=0.005 (5k),150,254,0.7,1.3,48.031496062992126,70.86614173228347
GAD dt=0.005 (5k),150,254,0.7,1.4,48.031496062992126,68.89763779527559
GAD dt=0.005 (5k),200,235,0.3,1.1,25.95744680851064,56.170212765957444
GAD dt=0.005 (5k),200,235,0.3,1.2,25.95744680851064,54.46808510638298
GAD dt=0.005 (5k),200,235,0.3,1.3,25.95744680851064,55.744680851063826
GAD dt=0.005 (5k),200,235,0.3,1.4,25.95744680851064,54.8936170212766
GAD dt=0.005 (5k),200,235,0.4,1.1,27.23404255319149,56.170212765957444
GAD dt=0.005 (5k),200,235,0.4,1.2,27.23404255319149,54.46808510638298
GAD dt=0.005 (5k),200,235,0.4,1.3,27.23404255319149,55.744680851063826
GAD dt=0.005 (5k),200,235,0.4,1.4,27.23404255319149,54.8936170212766
GAD dt=0.005 (5k),200,235,0.5,1.1,33.191489361702125,56.170212765957444
GAD dt=0.005 (5k),200,235,0.5,1.2,33.191489361702125,54.46808510638298
GAD dt=0.005 (5k),200,235,0.5,1.3,33.191489361702125,55.744680851063826
GAD dt=0.005 (5k),200,235,0.5,1.4,33.191489361702125,54.8936170212766
GAD dt=0.005 (5k),200,235,0.7,1.1,37.4468085106383,56.170212765957444
GAD dt=0.005 (5k),200,235,0.7,1.2,37.4468085106383,54.46808510638298
GAD dt=0.005 (5k),200,235,0.7,1.3,37.4468085106383,55.744680851063826
GAD dt=0.005 (5k),200,235,0.7,1.4,37.4468085106383,54.8936170212766
GAD dt=0.007 (5k),10,283,0.3,1.1,46.996466431095406,92.57950530035336
GAD dt=0.007 (5k),10,283,0.3,1.2,46.996466431095406,89.75265017667844
GAD dt=0.007 (5k),10,283,0.3,1.3,46.996466431095406,91.1660777385159
GAD dt=0.007 (5k),10,283,0.3,1.4,46.996466431095406,88.69257950530036
GAD dt=0.007 (5k),10,283,0.4,1.1,49.46996466431096,92.57950530035336
GAD dt=0.007 (5k),10,283,0.4,1.2,49.46996466431096,89.75265017667844
GAD dt=0.007 (5k),10,283,0.4,1.3,49.46996466431096,91.1660777385159
GAD dt=0.007 (5k),10,283,0.4,1.4,49.46996466431096,88.69257950530036
GAD dt=0.007 (5k),10,283,0.5,1.1,57.95053003533569,92.57950530035336
GAD dt=0.007 (5k),10,283,0.5,1.2,57.95053003533569,89.75265017667844
GAD dt=0.007 (5k),10,283,0.5,1.3,57.95053003533569,91.1660777385159
GAD dt=0.007 (5k),10,283,0.5,1.4,57.95053003533569,88.69257950530036
GAD dt=0.007 (5k),10,283,0.7,1.1,63.25088339222615,92.57950530035336
GAD dt=0.007 (5k),10,283,0.7,1.2,63.25088339222615,89.75265017667844
GAD dt=0.007 (5k),10,283,0.7,1.3,63.25088339222615,91.1660777385159
GAD dt=0.007 (5k),10,283,0.7,1.4,63.25088339222615,88.69257950530036
GAD dt=0.007 (5k),30,281,0.3,1.1,46.619217081850536,93.23843416370107
GAD dt=0.007 (5k),30,281,0.3,1.2,46.619217081850536,90.39145907473309
GAD dt=0.007 (5k),30,281,0.3,1.3,46.619217081850536,91.81494661921708
GAD dt=0.007 (5k),30,281,0.3,1.4,46.619217081850536,89.32384341637011
GAD dt=0.007 (5k),30,281,0.4,1.1,49.4661921708185,93.23843416370107
GAD dt=0.007 (5k),30,281,0.4,1.2,49.4661921708185,90.39145907473309
GAD dt=0.007 (5k),30,281,0.4,1.3,49.4661921708185,91.81494661921708
GAD dt=0.007 (5k),30,281,0.4,1.4,49.4661921708185,89.32384341637011
GAD dt=0.007 (5k),30,281,0.5,1.1,58.00711743772242,93.23843416370107
GAD dt=0.007 (5k),30,281,0.5,1.2,58.00711743772242,90.39145907473309
GAD dt=0.007 (5k),30,281,0.5,1.3,58.00711743772242,91.81494661921708
GAD dt=0.007 (5k),30,281,0.5,1.4,58.00711743772242,89.32384341637011
GAD dt=0.007 (5k),30,281,0.7,1.1,63.345195729537366,93.23843416370107
GAD dt=0.007 (5k),30,281,0.7,1.2,63.345195729537366,90.39145907473309
GAD dt=0.007 (5k),30,281,0.7,1.3,63.345195729537366,91.81494661921708
GAD dt=0.007 (5k),30,281,0.7,1.4,63.345195729537366,89.32384341637011
GAD dt=0.007 (5k),50,280,0.3,1.1,47.5,93.21428571428571
GAD dt=0.007 (5k),50,280,0.3,1.2,47.5,90.71428571428571
GAD dt=0.007 (5k),50,280,0.3,1.3,47.5,91.78571428571429
GAD dt=0.007 (5k),50,280,0.3,1.4,47.5,89.64285714285714
GAD dt=0.007 (5k),50,280,0.4,1.1,50.0,93.21428571428571
GAD dt=0.007 (5k),50,280,0.4,1.2,50.0,90.71428571428571
GAD dt=0.007 (5k),50,280,0.4,1.3,50.0,91.78571428571429
GAD dt=0.007 (5k),50,280,0.4,1.4,50.0,89.64285714285714
GAD dt=0.007 (5k),50,280,0.5,1.1,58.57142857142857,93.21428571428571
