method,trust_radius,noise_pm,n,n_conv,conv_pct,avg_total_steps,med_total_steps,med_step_conv,p95_step_conv,avg_wall_s,med_wall_s,total_wall_s,wall_per_conv_s,avg_fmax,min_fmax,avg_n_neg,n_used_newton,frac_used_newton
hybrid_damped_eckart_swtrue,0.005,10,287,247,86.06271777003484,159.38675958188153,21.0,19.0,37.0,9.91594583066083,1.4415764808654785,2845.876453399658,11.521767017812381,0.010748567330438281,0.002891876360336849,1.024390243902439,281,0.9790940766550522
hybrid_damped_eckart_swtrue,0.01,10,287,247,86.06271777003484,151.85365853658536,12.0,11.0,25.0,9.34571225800996,0.8306310176849365,2682.2194180488586,10.859187927323314,0.0103833696856289,0.002866721431372212,1.024390243902439,281,0.9790940766550522
hybrid_damped_eckart_swtrue,0.02,10,287,247,86.06271777003484,148.1951219512195,8.0,7.0,20.69999999999999,8.896675796874309,0.5394108295440674,2553.3459537029266,10.337433010943023,0.010237432371391198,0.0033651006039470267,1.024390243902439,281,0.9790940766550522
hybrid_damped_eckart_swtrue,0.05,10,287,245,85.36585365853658,153.59233449477352,7.0,5.0,21.0,9.188187720468235,0.4177427291870117,2637.0098757743835,10.763305615405647,0.010154724220841337,0.0026506825824114386,1.0278745644599303,280,0.975609756097561
hybrid_damped_eckart_swtrue,0.1,10,287,245,85.36585365853658,153.2404181184669,6.0,4.0,20.0,9.647196107625131,0.3818817138671875,2768.7452828884125,11.301001154646581,0.010530200878842134,0.001867554569553567,1.0278745644599303,280,0.975609756097561
hybrid_damped_eckart_swtrue,0.005,100,287,192,66.89895470383276,480.8780487804878,233.0,200.5,382.45,30.203320728361813,15.308762073516846,8668.35304903984,45.147672130415835,0.17513425602282442,0.005788499815313465,1.1358885017421603,250,0.8710801393728222
hybrid_damped_eckart_swtrue,0.01,100,287,189,65.85365853658537,428.02090592334497,129.0,103.0,303.79999999999995,26.38621451796555,8.364650249481201,7572.843566656113,40.06795537913287,0.21423059946263714,0.003857806187062,1.146341463414634,248,0.8641114982578397
hybrid_damped_eckart_swtrue,0.02,100,287,190,66.2020905923345,401.30662020905925,89.0,59.0,280.2499999999998,24.379260381339733,5.490322828292847,6996.847729444504,36.82551436549739,0.1865153679925154,0.002470084649229356,1.146341463414634,247,0.8606271777003485
hybrid_damped_eckart_swtrue,0.05,100,287,192,66.89895470383276,384.70383275261327,69.0,35.5,280.0,23.198318426617348,4.265821933746338,6657.9173884391785,34.67665306478739,0.21399813000778042,0.001896348592329151,1.132404181184669,251,0.8745644599303136
hybrid_damped_eckart_swtrue,0.1,100,287,191,66.55052264808363,379.1672473867596,67.0,31.0,246.5,22.761884077085437,4.0373008251190186,6532.66073012352,34.20241219959958,0.1788099663923121,0.002618827800092241,1.146341463414634,248,0.8641114982578397
hybrid_eckart_swfalse,0.005,10,287,131,45.64459930313589,864.4006968641115,1000.0,702.0,954.5,51.435078922464456,58.61644911766052,14761.8676507473,112.68601260112442,0.016018967830290762,0.009179794221358803,1.0209059233449478,0,0.0
hybrid_eckart_swfalse,0.01,10,287,133,46.34146341463415,863.5156794425087,1000.0,702.0,971.0,53.041098134442905,60.39077568054199,15222.795164585114,114.45710650063995,0.01602819576888789,0.009184192686804551,1.0209059233449478,0,0.0
hybrid_eckart_swfalse,0.02,10,287,133,46.34146341463415,863.5156794425087,1000.0,702.0,971.0,51.447425302312766,58.79687690734863,14765.411061763763,111.01812828393807,0.016028178806035645,0.009183652466912513,1.0209059233449478,0,0.0
hybrid_eckart_swfalse,0.05,10,287,133,46.34146341463415,863.5156794425087,1000.0,702.0,971.0,51.34125395435905,59.061102867126465,14734.939884901047,110.78902169098531,0.016028290246824457,0.009183063402269778,1.0209059233449478,0,0.0
hybrid_eckart_swfalse,0.1,10,287,133,46.34146341463415,863.5156794425087,1000.0,702.0,971.0,51.16532137252728,58.698007345199585,14684.447233915329,110.4093776986115,0.01602827213026292,0.009183626394186647,1.0209059233449478,0,0.0
hybrid_eckart_swfalse,0.005,100,287,1,0.34843205574912894,999.7108013937283,1000.0,916.0,916.0,59.46185586427562,59.57349681854248,17065.552633047104,17065.552633047104,0.16031759219476846,0.009802610737337923,1.1045296167247387,0,0.0
hybrid_eckart_swfalse,0.01,100,287,1,0.34843205574912894,999.7073170731708,1000.0,915.0,915.0,58.87528515609715,58.77356696128845,16897.20683979988,16897.20683979988,0.16982886412016768,0.009566447083334694,1.1045296167247387,0,0.0
hybrid_eckart_swfalse,0.02,100,287,1,0.34843205574912894,999.7073170731708,1000.0,915.0,915.0,59.00137317139097,59.01657271385193,16933.39410018921,16933.39410018921,0.17103119039302225,0.009398267694915424,1.1010452961672474,0,0.0
hybrid_eckart_swfalse,0.05,100,287,1,0.34843205574912894,999.7073170731708,1000.0,915.0,915.0,59.54207842441386,59.54253101348877,17088.576507806778,17088.576507806778,0.1764693709737977,0.009357122761401725,1.0975609756097562,0,0.0
hybrid_eckart_swfalse,0.1,100,287,1,0.34843205574912894,999.7073170731708,1000.0,915.0,915.0,60.25497911532997,60.053794622421265,17293.1790060997,17293.1790060997,0.1760298021079184,0.009356638066295473,1.0975609756097562,0,0.0
hybrid_eckart_swtrue,0.005,10,287,243,84.66898954703832,179.0,24.0,21.0,66.0,10.734754629666797,1.446126937866211,3080.8745787143707,12.678496208701114,0.010611900680034581,0.0031803009912680924,1.0278745644599303,279,0.9721254355400697
hybrid_eckart_swtrue,0.01,10,287,243,84.66898954703832,168.66898954703834,15.0,12.0,37.0,10.306373749875856,0.8999166488647461,2957.9292662143707,12.17254842063527,0.010457403446345036,0.002306086652325002,1.0278745644599303,279,0.9721254355400697
hybrid_eckart_swtrue,0.02,10,287,243,84.66898954703832,163.70034843205576,10.0,8.0,25.899999999999977,9.915680989155787,0.601041316986084,2845.8004438877106,11.711112937809508,0.010267071714789201,0.003179770583314839,1.0278745644599303,279,0.9721254355400697
hybrid_eckart_swtrue,0.05,10,287,243,84.66898954703832,160.9616724738676,7.0,5.0,21.899999999999977,9.590135012769533,0.4186534881591797,2752.368748664856,11.32662036487595,0.010404764112524617,0.002249325676694428,1.0313588850174216,279,0.9721254355400697
hybrid_eckart_swtrue,0.1,10,287,245,85.36585365853658,153.595818815331,7.0,5.0,21.799999999999983,9.174234126087681,0.4075150489807129,2633.0051941871643,10.74695997627414,0.010896077731706458,0.0027827548048318567,1.024390243902439,281,0.9790940766550522
hybrid_eckart_swtrue,0.005,100,287,186,64.80836236933798,501.34843205574913,241.0,195.0,488.75,30.549368184618004,14.849254369735718,8767.668668985367,47.13800359669552,0.19866282189796244,0.0037037202389437994,1.1184668989547037,247,0.8606271777003485
hybrid_eckart_swtrue,0.01,100,287,188,65.50522648083624,436.7177700348432,142.0,105.0,317.3,26.872891631275934,8.920105457305908,7712.519898176193,41.024042011575496,0.17352737299825227,0.002385737196564461,1.1254355400696865,247,0.8606271777003485
hybrid_eckart_swtrue,0.02,100,287,187,65.15679442508711,409.88850174216026,99.0,60.0,272.1999999999998,24.670518051871856,5.99856162071228,7080.438680887222,37.863308453942366,0.2045749210001427,0.002384861800843971,1.1289198606271778,247,0.8606271777003485
hybrid_eckart_swtrue,0.05,100,287,188,65.50522648083624,394.20905923344947,80.0,38.5,273.45000000000005,23.524937230950865,4.790700197219849,6751.656985282898,35.91306907065371,0.1778342334347489,0.0032684313139971256,1.1254355400696865,247,0.8606271777003485
hybrid_eckart_swtrue,0.1,100,287,187,65.15679442508711,393.25435540069685,67.0,33.0,270.6999999999999,23.653215147476995,4.022805690765381,6788.472747325897,36.30199330120801,0.1639428203012286,0.0029169066736190984,1.10801393728223,253,0.8815331010452961
